Sample,CqH1,CqH2,CqH3,CqH4,CqH_CV,CqD1,CqD2,CqD3,CqD4,CqD_CV,CqC1,CqC2,CqC3,CqC4,CqC_CV,CqA1,CqA2,CqA3,CqA4,CqA_CV,CqH_avg,CqD_avg,CqC_avg,CqA_avg,CqH_scaled,CqD_scaled,CqC_scaled,CqA_scaled,SH_D,SH_C,SH_A,SH_T,%D,%C,%A
12.5,19.6,19.79,,,0.6821542951,27.61,27.24,,,0.9539818014,40,40,,,0,38,35.82,,,4.176355413,19.695,27.425,40,36.91,19.695,27.425,38.77,36.91,0.1494085719,0.000007491756142,0.0001389999829,0.1495550637,0.9990204829,0.00005009363079,0.0009294234476
12.6,20.65,20,,,2.2613501,23.11,23.15,,,0.1222839224,40,40,,,0,38.02,34.44,,,6.987144015,20.325,23.13,40,36.23,20.325,23.13,38.77,36.23,4.538875218,0.00001159397955,0.0003446386981,4.539231451,0.9999215214,0.000002554172369,0.00007592446032
13.1,18.64,18.98,,,1.27813028,30.86,29.9,,,2.234438808,25.12,25.99,,,2.407289766,36.68,33.17,,,7.106499075,18.81,30.38,25.555,34.925,18.81,30.38,24.325,34.925,0.01043326723,0.09047953788,0.0002979529859,0.1012107581,0.1030845676,0.8939715459,0.002943886514
13.3,19.44,19.7,,,0.9394367047,29.49,29.78,,,0.6919553452,25.12,24.79,,,0.9350640665,33.55,32.6,,,2.030994534,19.57,29.635,24.955,33.075,19.57,29.635,23.725,33.075,0.02961218642,0.2322475642,0.001819013954,0.2636787646,0.1123040244,0.880797377,0.006898598592
13.4,20.49,20.8,,,1.061773321,25.92,26.5,,,1.564753655,24.1,24.64,,,1.566834887,34.34,35.18,,,1.708773579,20.645,26.21,24.37,34.76,20.645,26.21,23.14,34.76,0.6700472904,0.7339406813,0.001191811944,1.405179784,0.4768409695,0.5223108743,0.0008481561985
13.5,20.04,20.38,,,1.189590824,28.62,27.76,,,2.157189896,28.46,28.43,,,0.07457621176,34.94,40,,,9.548866594,20.21,28.19,28.445,37.47,20.21,28.19,27.215,37.47,0.1256371325,0.0322118509,0.000134731268,0.1579837147,0.7952536929,0.2038934897,0.0008528174452
14.1,19.66,19.68,,,0.07189697826,26.14,25.83,,,0.8435755327,32.06,33.65,,,3.42200512,33.72,35.89,,,4.408624379,19.67,25.985,32.855,34.805,19.67,25.985,31.625,34.805,0.3984125026,0.00104211873,0.0005877019582,0.4000423233,0.9959258794,0.002605021194,0.001469099453
14.3,19.28,19.4,,,0.4387425736,27.77,27.55,,,0.5624132027,33.38,34.19,,,1.695298188,33.45,32.82,,,1.344431182,19.34,27.66,33.785,33.135,19.34,27.66,32.555,33.135,0.09925852501,0.0004351303812,0.001487775258,0.1011814306,0.980995469,0.004300496429,0.01470403461
14.5,19.79,19.4,,,1.407357207,23.59,24.49,,,2.647238366,36.86,40,,,5.777557359,31.36,32.52,,,2.568077227,19.595,24.04,38.43,31.94,19.595,24.04,37.2,31.94,1.4563275,0.00002075380473,0.00406472179,1.460412976,0.9972025203,0.00001421091505,0.002783268745
14.6,18.85,18.97,,,0.4487192689,24.44,25.59,,,3.250740749,31.97,32.35,,,0.8355117439,30.93,31.51,,,1.313651291,18.91,25.015,32.16,31.22,18.91,25.015,30.93,31.22,0.4608390341,0.0009962085207,0.004164538444,0.465999781,0.9889254305,0.00213778753,0.008936781976
