UniqueID,Site,Tag,Array,Genotype,FragID,TissueSampledT0,TissueSampledT24,T0_Status,T0_SA,T12_Status,T12_SA,T12_V,T12_Vhull,T12_IS,T15_Status,T15_SA,T15_V,T15_Vhull,T15_IS,T18_Status,T18_SA,T18_V,T18_Vhull,T18_IS,T24_Status,T24_SA,T24_V,T24_Vhull,T24_IS,T24_Dead,T24_TOD,T24_TOD_mod,T0_V,T0_IS
BH41,Bahia Honda,41,3,AP14-5,27,0,0,A,5.584,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,1,3,3,0,0
BH42,Bahia Honda,42,3,AP13-X9,24,0,0,A,5.098,A,NA,NA,NA,NA,A,2.327904,0.061898,0.190301,0.128403,D,NA,NA,NA,NA,D,NA,NA,NA,NA,1,18,18,0,0
BH43,Bahia Honda,43,3,AP13-XK,27,0,0,A,5.483,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,1,9,9,0,0
BH44,Bahia Honda,44,3,AP13-X5,26,0,0,A,2.684,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,1,12,12,0,0
BH45,Bahia Honda,45,3,AP13-X7,26,0,0,A,5.343,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,D,NA,NA,NA,NA,1,12,12,0,0
BP31,Big Pine,31,1,AP14-5,24,0,1,A,6.764,A,NA,NA,NA,NA,A,42.310284,4.306388,9.755041,5.448653,A,41.763119,4.1271,10.280844,6.153744,A,4.092505,1.104861,1.413838,0.308977,0,24,25,0,0
BP32,Big Pine,32,1,AP13-XK,25,0,0,A,6.133,A,NA,NA,NA,NA,A,48.448082,2.612049,5.501863,2.889814,A,4.792996,0.177625,1.136896,0.959271,D,NA,NA,NA,NA,1,20,24,0,0
BP33,Big Pine,33,1,AP13-X9,22,0,0,A,4.656,A,39.056698,3.964438,8.445594,4.481156,A,61.343231,9.228963,18.406826,9.177863,A,33.255272,7.690024,16.844997,9.154973,D,NA,NA,NA,NA,1,20,24,0,0
BP34,Big Pine,34,1,AP13-X5,24,0,0,A,2.893,A,23.595804,2.664083,5.38933,2.725247,A,38.733295,4.875175,10.580133,5.704958,A,23.965582,4.821149,11.231861,6.410712,D,NA,NA,NA,NA,1,20,24,0,0
BP35,Big Pine,35,1,AP13-X7,24,0,0,A,4.893,A,39.754513,4.381736,9.235407,4.853671,A,50.050465,10.753836,18.986284,8.232448,A,13.871842,4.373313,9.406694,5.033381,D,NA,NA,NA,NA,1,20,24,0,0
BP36,Big Pine,36,2,AP13-X7,18,1,0,A,5.575,A,NA,NA,NA,NA,A,59.144199,9.963964,22.035767,12.071803,A,83.448753,13.48968,30.764759,17.275079,D,NA,NA,NA,NA,1,20,24,0,0
BP37,Big Pine,37,2,AP13-X5,22,1,0,A,3.904,A,NA,NA,NA,NA,A,62.179893,9.956878,24.867931,14.911053,A,69.294769,9.07586,22.179409,13.103549,D,NA,NA,NA,NA,1,20,24,0,0
BP38,Big Pine,38,2,AP13-X9,27,1,0,A,5.929,A,NA,NA,NA,NA,A,39.978798,7.103992,14.321339,7.217347,A,52.072311,10.081574,18.941864,8.86029,D,NA,NA,NA,NA,1,20,24,0,0
